"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 00:00:00,"O3",3
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 00:00:00,"NO2",39
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 00:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 01:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 01:00:00,"NO2",47
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 01:00:00,"SO2",3
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 02:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 02:00:00,"NO2",46
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 02:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 03:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 03:00:00,"NO2",46
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 03:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 04:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 04:00:00,"NO2",46
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 04:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 05:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 05:00:00,"NO2",46
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 05:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 06:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 06:00:00,"NO2",50
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 06:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 07:00:00,"O3",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 07:00:00,"NO2",55
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 07:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 08:00:00,"O3",7
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 08:00:00,"NO2",45
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 08:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 09:00:00,"O3",23
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 09:00:00,"NO2",20
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 09:00:00,"SO2",1
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 10:00:00,"O3",29
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 10:00:00,"NO2",13
60430,"Toronto","ON",43.709444,-79.5435,2018-01-01 10:00:00,"SO2",1
