"wavenumber","sample","absorbance"
550.0952,"EPDM",0.2119556
550.0952,"Polystyrene",0.07463058
550.0952,"Polyethylene",0.000873196
550.0952,"Sample: Shopping bag",0.02364882
550.5773,"EPDM",0.2124079
550.5773,"Polystyrene",0.07455246
550.5773,"Polyethylene",0.000834192
550.5773,"Sample: Shopping bag",0.02382648
551.0594,"EPDM",0.2128818
551.0594,"Polystyrene",0.07450471
551.0594,"Polyethylene",0.000819447
551.0594,"Sample: Shopping bag",0.02387163
551.5415,"EPDM",0.2133267
551.5415,"Polystyrene",0.07449704
551.5415,"Polyethylene",0.000825491
551.5415,"Sample: Shopping bag",0.02391921
552.0236,"EPDM",0.2137241
552.0236,"Polystyrene",0.07452058
552.0236,"Polyethylene",0.000868397
552.0236,"Sample: Shopping bag",0.02396947
552.5057,"EPDM",0.2140997
552.5057,"Polystyrene",0.07455528
552.5057,"Polyethylene",0.000949017
552.5057,"Sample: Shopping bag",0.02402323
552.9879,"EPDM",0.2145173
552.9879,"Polystyrene",0.07458498
552.9879,"Polyethylene",0.001008869
552.9879,"Sample: Shopping bag",0.02408946
553.47,"EPDM",0.2150495
553.47,"Polystyrene",0.07458818
553.47,"Polyethylene",0.0010252
553.47,"Sample: Shopping bag",0.02413738
553.9521,"EPDM",0.2156501
553.9521,"Polystyrene",0.07456694
553.9521,"Polyethylene",0.001053734
553.9521,"Sample: Shopping bag",0.02419313
554.4342,"EPDM",0.2163207
554.4342,"Polystyrene",0.07452466
554.4342,"Polyethylene",0.001066902
554.4342,"Sample: Shopping bag",0.02424033
554.9163,"EPDM",0.2170318
554.9163,"Polystyrene",0.07447084
554.9163,"Polyethylene",0.001056188
554.9163,"Sample: Shopping bag",0.02426789
555.3984,"EPDM",0.2177349
555.3984,"Polystyrene",0.07441481
555.3984,"Polyethylene",0.001044501
555.3984,"Sample: Shopping bag",0.02427777
555.8806,"EPDM",0.2184014
555.8806,"Polystyrene",0.07436047
555.8806,"Polyethylene",0.001051706
555.8806,"Sample: Shopping bag",0.02427188
556.3627,"EPDM",0.2190562
556.3627,"Polystyrene",0.07430276
556.3627,"Polyethylene",0.001061679
556.3627,"Sample: Shopping bag",0.02424267
556.8448,"EPDM",0.2196827
556.8448,"Polystyrene",0.0742451
556.8448,"Polyethylene",0.001119621
556.8448,"Sample: Shopping bag",0.02422142
557.3269,"EPDM",0.2202756
557.3269,"Polystyrene",0.0741929
557.3269,"Polyethylene",0.001223141
557.3269,"Sample: Shopping bag",0.02422678
557.809,"EPDM",0.2208065
557.809,"Polystyrene",0.07415483
557.809,"Polyethylene",0.00135028
557.809,"Sample: Shopping bag",0.0242722
558.2911,"EPDM",0.221236
558.2911,"Polystyrene",0.0741393
558.2911,"Polyethylene",0.001465345
558.2911,"Sample: Shopping bag",0.02436322
558.7733,"EPDM",0.2216212
558.7733,"Polystyrene",0.07413711
558.7733,"Polyethylene",0.001464324
558.7733,"Sample: Shopping bag",0.02443497
559.2554,"EPDM",0.2218603
559.2554,"Polystyrene",0.07416032
559.2554,"Polyethylene",0.001438965
559.2554,"Sample: Shopping bag",0.02455257
559.7375,"EPDM",0.2219969
559.7375,"Polystyrene",0.07420024
559.7375,"Polyethylene",0.001366238
559.7375,"Sample: Shopping bag",0.02471445
560.2196,"EPDM",0.2221402
560.2196,"Polystyrene",0.07423479
560.2196,"Polyethylene",0.001246062
560.2196,"Sample: Shopping bag",0.02486027
560.7017,"EPDM",0.2223532
560.7017,"Polystyrene",0.07425515
560.7017,"Polyethylene",0.001116078
560.7017,"Sample: Shopping bag",0.02497118
561.1838,"EPDM",0.2226563
561.1838,"Polystyrene",0.07426071
561.1838,"Polyethylene",0.001017787
561.1838,"Sample: Shopping bag",0.0250296
