wavenumber,EPDM,Neoprene,Mylar,PTFE,PVC,Polystyrene,Polyethylene,Sample: eyeglass bag,Sample: Gloves (KC500),Sample: Shopping bag
550.0952,0.2119556,0.2955868,0.07094997,0.04170648,0.01735321,0.07463058,0.000873196,0.02006735,0.04507647,0.02377705
550.5773,0.2124079,0.2952711,0.07086368,0.04209252,0.01740648,0.07455246,0.000834192,0.02006037,0.04507129,0.02382648
551.0594,0.2128818,0.2948948,0.07078161,0.04237368,0.01746877,0.07450471,0.000819447,0.02005538,0.04505392,0.02387163
551.5415,0.2133267,0.294482,0.07071187,0.04286509,0.0175232,0.07449704,0.000825491,0.02005882,0.0450292,0.02391921
552.0236,0.2137241,0.2940417,0.07066002,0.04356535,0.01758633,0.07452058,0.000868397,0.02007059,0.04500503,0.02396947
552.5057,0.2140997,0.2935647,0.07061794,0.04433106,0.01766837,0.07455528,0.000949017,0.02008591,0.04498893,0.02402323
552.9879,0.2145173,0.293027,0.07055153,0.04526205,0.01771762,0.07458498,0.001008869,0.02009649,0.04498339,0.02408946
553.47,0.2150495,0.2924024,0.07047483,0.04552166,0.01778911,0.07458818,0.0010252,0.0200868,0.04498411,0.02413738
553.9521,0.2156501,0.2916749,0.07037707,0.04526771,0.01785114,0.07456694,0.001053734,0.02006831,0.04497925,0.02419313
554.4342,0.2163207,0.2908441,0.07026119,0.04430586,0.0179008,0.07452466,0.001066902,0.02003052,0.04495322,0.02424033
554.9163,0.2170318,0.2899278,0.0701296,0.04269304,0.01793235,0.07447084,0.001056188,0.01996701,0.04489202,0.02426789
555.3984,0.2177349,0.2889515,0.06998298,0.04072356,0.01794014,0.07441481,0.001044501,0.01988068,0.04478761,0.02427777
555.8806,0.2184014,0.2879421,0.06982655,0.03862256,0.01792669,0.07436047,0.001051706,0.01977778,0.04464212,0.02427188
556.3627,0.2190562,0.286919,0.06967571,0.03630021,0.01791548,0.07430276,0.001061679,0.01966342,0.04446938,0.02424267
556.8448,0.2196827,0.2858966,0.06954076,0.03398574,0.0179147,0.0742451,0.001119621,0.01956545,0.04429321,0.02422142
557.3269,0.2202756,0.2848877,0.06944017,0.03169306,0.01793354,0.0741929,0.001223141,0.01950338,0.04414172,0.02422678
557.809,0.2208065,0.283906,0.06938995,0.02944948,0.01796886,0.07415483,0.00135028,0.01948889,0.04404204,0.0242722
558.2911,0.221236,0.2829677,0.06939965,0.02732505,0.01800855,0.0741393,0.001465345,0.01952391,0.04401257,0.02436322
558.7733,0.2216212,0.282088,0.0694773,0.02505437,0.01812146,0.07413711,0.001464324,0.01957121,0.04405903,0.02443497
559.2554,0.2218603,0.2812742,0.0695769,0.02388316,0.01822816,0.07416032,0.001438965,0.01965317,0.04417174,0.02455257
559.7375,0.2219969,0.2805202,0.06971951,0.02258792,0.01831088,0.07420024,0.001366238,0.01976513,0.04432645,0.02471445
560.2196,0.2221402,0.2798037,0.0698714,0.02146429,0.01844095,0.07423479,0.001246062,0.01987169,0.04448947,0.02486027
560.7017,0.2223532,0.279091,0.07001492,0.02036671,0.0186277,0.07425515,0.001116078,0.01996072,0.04462423,0.02497118
561.1838,0.2226563,0.2783481,0.07014155,0.01909708,0.01887229,0.07426071,0.001017787,0.0200201,0.04470015,0.0250296
561.666,0.2229459,0.2775494,0.07023486,0.01758742,0.0189902,0.07428109,0.000988206,0.02007985,0.04469918,0.02511967
