Wavelength (nm),0.001 M SDS,0.0016 M SDS,0.004 M SDS,0.0048 M SDS,0.0056 M SDS,0.0064 M SDS,0.0072 M SDS,0.008 M SDS,0.012 M SDS
500,19.991,18.623,7.022,1.118,5.478,7.722,29.507,107.541,115.079
500.5,27.334,13.901,5.454,5.462,7.166,6.499,33.583,114.762,127.326
501,26.986,12.479,8.134,5.891,5.173,7.941,31.161,134.288,137.826
501.5,29.671,12.459,8.173999,5.812,6.415,6.445,31.68,144.527,136.551
502,32.61,15.661,4.585,6.688,7.559,9.88,34.529,140.144,143.899
502.5,32.764,19.395,5.939,5.327,6.498,10.404,37.364,153.471,155.544
503,30.532,17.946,9.098,5.895,7.518,10.577,35.062,158.341,172.319
503.5,36.512,19.688,9.372999,5.683,7.54,10.239,35.508,165.564,183.025
504,38.34,22.205,9.446,6.134,9.239,12.234,42.186,183.476,201.496
504.5,35.564,22.107,11.992,6.175,9.67,13.709,44.256,196.569,217.385
505,41.572,22.616,10.732,7.213,11.898,14.998,44.304,209.799,216.782
505.5,44.083,22.711,10.699,7.404,10.996,17.725,49.958,226.813,223.356
506,41.119,25.246,13.851,7.751,10.32,18.686,54.385,240.253,243.997
506.5,48.105,23.803,14.202,8.114,8.510999,18.862,52.893,251.359,286.052
507,50.795,22.937,14.111,7.369,10.066,21.672,58.832,275.597,299.862
507.5,49.791,23.916,12.616,8.106999,11.665,21.33,62.756,283.728,299.383
508,48.383,25.256,13.278,9.465,12.476,21.726,63.628,291.425,309.374
508.5,53.014,25.177,15.704,10.424,9.484999,21.718,62.652,312.17,335.996
509,60.166,28.98,15.637,11.123,8.005,22.134,64.992,321.473,358.745
509.5,63.583,32.642,13.15,9.544,11.65,28.527,67.164,346.481,348.283
510,64.864,29.557,13.369,13.567,16.182,25.524,75.878,347.623,381.584
510.5,58.12,27.099,17.219,12.558,15.877,26.316,68.556,370.383,400.84
511,59.383,35.351,17.17,15.772,14.081,24.936,76.706,396.807,416.43
511.5,58.187,37.155,19.478,15.407,16.093,28.603,70.39,414.698,437.266
512,64.188999,38.739,16.899,14.438,13.118,32.708,77.33,442.451,450.519
512.5,72.197,35.829,16.737,13.147,15.305,33.562,90.912,452.452,459.914
513,72.89,36.641,21.696,10.269,19.146,33.406,89.196,440.291,511.425
513.5,72.263,41.308,23.808,12.337,14.327,32.622,83.843999,454.48,506.407
514,66.791,42.446,24.488,14.007,13.489,38.059,83.313,504.846,549.409
514.5,73.641,40.945,21.217,15.109,16.171,41.445,89.299,485.553,544.683
515,81.587,38.4,21.433,13.079,16.925,36.002,91.373,512.544,571.823
515.5,73.081999,44.137,22.835,12.726,18.6,44.146,91.531,565.613,597.903
516,76.364999,37.101,24.822,10.866,19.892,38.968,97.97,537.425,575.833
516.5,78.995,40.472,21.633,15.528,16.583,42.474,94.944999,580.344,602.754
517,89.688999,42.458,23.524,11.645,21.145,47.982,91.973,577.144,639.529
517.5,77.476,37.547,19.512,13.868,18.431,46.062,95.678,631.779,625.207
518,85.065,47.099,23.255,12.016,19.297,43.886,94.425,633.774,652.265
518.5,84.547,42.325,23.866,18.259,18.22,49.493,104.91,656.219,672.232999
519,78.723,44.995,22.693,16.571,15.686,45.898,102.221,659.978,700.793
519.5,81.949,47.646,25.236,15.86,22.437,48.782,108.347,694.447,701.530999
520,88.039,43.42,19.832,18.064,28.145,51.197,102.4,691.077,714.636
520.5,89.977999,43.347,20.594,19.195,20.343,52.655,105.068,668.232999,703.213
521,87.899,46.375,25.217,17.905,20.241,54.191,106.528,657.388,767.669
521.5,86.452,46.408,24.804,19.556,21.568,51.182,101.216,667.597,785.145
522,87.558,42.336,27.029,17.982,21.789,58.17,109.128,704.038,766.167
522.5,89.849999,42.724,29.64,17.554,21.266,53.58,110.291,721.162,789.929999
523,86.641,45.336,26.506,15.222,19.31,51.541,105.997,748.158,804.154
523.5,88.117999,47.653,22.673,14.635,19.388,54.024,110.809,751.25,787.615
524,85.712999,47.883,24.766,15.571,20.415,55.041,116.018,735.82,781.813
524.5,89.051,38.917,27.285,15.356,21.075,57.933,112.688,740.375,805.429999
525,90.789,43.592,25.078,16.295,22.408,58.359,111.345,751.473,796.365
525.5,91.286,47.748,26.566,16.157,20.482,59.484,107.966,753.03,760.61
526,90.042,50.176,24.308,17.633,19.581,55.439,105.499,738.057,767.678
526.5,87.194,52.402,22.739,16.474,19.036,57.991,109.085,753.764,778.988
527,88.739,46.882,24.802,18.544,23.981,65.255,109.198,767.697,775.722
527.5,91.663,50.79,23.673,20.121,19.187,61.975,108.24,759.578,810.396
528,91.831,49.883,24.387,21.966,17.579,59.029,109.239,740.723,782.373
528.5,89.417,46.807,23.894,17.041,23.193,58.568,103.984,755.791,798.025
529,88.537,44.512,24.227,15.389,20.415,61.279,105.759,725.594,763.898
529.5,87.903,45.641,26.871,14.957,17.614,54.648,108.846,722.599,751.754
530,84.545,46.636,27.554,16.643,19.198,51.278,114.769,722.874,769.019
530.5,92.968,51.035,22.721,15.462,17.758,56.058,111.014,738.015,784.836
531,86.417,45.361,31.722,18.688,16.071,52.032,111.178,708.7,787.48
531.5,79.039,41.701,22.971,13.3,18.759,49.052,104.566,693.96,747.245
532,78.069,41.442,26.199,13.429,15.887,55.968,106.94,683.987,701.362
532.5,70.726,42.708,27.43,15.488,16.469,57.729,105.876,671.245,756.097
533,77.711,47.758,24.062,16.685,21.845,51.436,103.875,734.754,701.799
533.5,78.084999,56.96,19.903,15.364,15.125,49.137,91.093,688.374,728.139
534,72.078999,38.599,20.365,17.914,16.631,53.325,101.044,714.782,723.489
534.5,72.575999,40.72,23.817,10.514,14.975,52.278,91.821,669.828,718.407
535,86.912,39.541,23.108,14.809,17.786,44.731,98.627,631.544,700.201
535.5,85.67,38.906,21.023,14.888,20.761,49.229,90.949,627.32,710.923
536,75.843999,43.255,18.742,15.265,20.009,49.401,95.525,591.963,669.723
536.5,75.816999,46.391,20.126,11.996,18.642,47.091,83.68,592.265,640.071
537,64.361,47.046,20.769,14.678,18.614,44.089,94.712999,594.5,643.586
537.5,68.407,36.492,20.121,11.25,17.164,47.663,93.397,598.635,639.761
538,68.191999,38.245,17.479,16.83,18.68,51.114,98.3,588.586,611.508
538.5,66.572,38.39,18.493,17.124,16.448,48.417,85.852,561.542,616.755
539,66.885,35.265,18.552,13.983,17.862,48.973,80.568,554.085,608.937
539.5,66.081,32.219,17.719,12.113,19.309,42.687,85.283,518.648,571.371
540,64.278,35.122,16.568,14.2,16.233,39.406,89.678,502.704,559.365
540.5,63.833,38.408,17.024,13.155,13.582,41.065,81.797,514.26,562.569
541,61.913,37.465,17.383,11.881,10.424,40.819,81.232,519.508,570.434999
541.5,63.517,32.24,15.792,13.264,13.512,34.581,76.309,504.155,529.127
542,59.619,28.978,15.38,14.187,16.785,32.623,77.12,490.029,500.33
542.5,55.528,27.846,17.071,11.643,15.146,36.996,74.822999,484.657,504.07
543,60.416,30.081,17.617,10.008,12.743,40.452,77.003,475.296,470.91
543.5,60.336,31.829,15.803,12.143,13.109,42.521,73.7,461.591,482.442
544,65.031,29.74,14.12,12.739,13.597,36.584,67.742,447.345,424.183
544.5,59.113,28.301,12.953,11.297,10.822,33.805,68.244,435.118,452.208
545,48.665,28.245,13.09,9.257,12.808,35.841,69.033,430.914,456.317
545.5,51.566,26.318,13.953,6.513,13.544,37.784,65.583,411.826,434.194
546,49.957,27.404,15.501,9.507999,10.892,32.449,66.052,379.971,409.558
546.5,58.746,27.103,14.932,10.23,11.706,30.472,62.309,371.122,394.382
547,53.055,26.583,12.433,12.041,13.571,31.592,61.978,387.022,396.47
547.5,51.045,27.177,14.654,10.98,11.041,30.749,59.477,372.624,381.091
548,49.66,25.942,12.839,8.379,11.587,33.417,55.406,342.914,390.251
548.5,42.352,22.289,13.41,7.789,10.591,34.772,53.85,351.442,363.141
549,50.112,27.709,10.538,10.701,13.975,27.43,58.553,341.097,367.819
549.5,47.421,23.86,11.105,9.637,10.605,24.35,64.697,333.423,351.809
550,38.578,18.973,15.145,10.132,11.45,24.429,46.95,315.315,359.381
550.5,52.249,22.089,11.341,10.085,11.609,25.476,53.677,294.14,335.987
551,41.924,28.331,13.261,6.521,11.117,28.263,46.583,323.792,316.524
551.5,48.533,18.137,8.058999,8.177,9.22,19.715,47.577,304.811,298.72
552,52.932,19.666,12.314,7.368,8.311,23.267,49.441,272.799,284.62
552.5,32.876,19.367,14.523,8.169,5.774,21.463,52.317,281.823,293.465
553,40.233,16.044,13.66,8.590999,9.206,22.709,45.723,276.564,282.424
553.5,39.339,17.594,13.688,9.606999,8.349,19.692,35.744,256.666,263.814
554,35.303,17.024,11.717,5.999,7.027,20.485,37.947,264.932,266.603
554.5,37.384,19.959,9.065,8.407,8.295,19.902,48.367,248.72,266.471
