,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,mark 2020-08-29,2020-08-29T10:45:43.136,43.6682319,-79.4185938,72.0,,,,
2,mark 2020-08-29,2020-08-29T10:45:43.387,43.6682319,-79.4185938,,,,,98.0
3,mark 2020-08-29,2020-08-29T10:45:43.388,43.6682319,-79.4185938,,0.0,,,
4,mark 2020-08-29,2020-08-29T10:45:43.390,43.6682319,-79.4185938,,,,0.0,
5,mark 2020-08-29,2020-08-29T10:45:43.531,43.6682319,-79.4185938,,,0.0,,
6,mark 2020-08-29,2020-08-29T10:45:44.135,43.6682319,-79.4185938,72.0,,,,
7,mark 2020-08-29,2020-08-29T10:45:44.639,43.6682319,-79.4185938,,,,,98.0
8,mark 2020-08-29,2020-08-29T10:45:44.641,43.6682319,-79.4185938,,0.0,,,
9,mark 2020-08-29,2020-08-29T10:45:44.643,43.6682319,-79.4185938,,,,0.0,
10,mark 2020-08-29,2020-08-29T10:45:44.645,43.6682319,-79.4185938,,,0.0,,
11,mark 2020-08-29,2020-08-29T10:45:45.638,43.6682301,-79.4185862,72.0,,,,
12,mark 2020-08-29,2020-08-29T10:45:45.639,43.6682301,-79.4185862,,,,,98.0
13,mark 2020-08-29,2020-08-29T10:45:45.641,43.6682301,-79.4185862,,0.0,,,
14,mark 2020-08-29,2020-08-29T10:45:45.643,43.6682301,-79.4185862,,,,0.0,
15,mark 2020-08-29,2020-08-29T10:45:45.644,43.6682301,-79.4185862,,,0.0,,
16,mark 2020-08-29,2020-08-29T10:45:46.135,43.6682301,-79.4185862,72.0,,,,
17,mark 2020-08-29,2020-08-29T10:45:46.140,43.6682301,-79.4185862,,,,,98.0
18,mark 2020-08-29,2020-08-29T10:45:46.387,43.6682301,-79.4185862,,0.0,,,
19,mark 2020-08-29,2020-08-29T10:45:46.389,43.6682301,-79.4185862,,,,0.0,
20,mark 2020-08-29,2020-08-29T10:45:46.391,43.6682301,-79.4185862,,,0.0,,
21,mark 2020-08-29,2020-08-29T10:45:47.135,43.6682301,-79.4185862,72.0,,,,
22,mark 2020-08-29,2020-08-29T10:45:47.387,43.6682301,-79.4185862,,,,,98.0
23,mark 2020-08-29,2020-08-29T10:45:47.389,43.6682301,-79.4185862,,0.0,,,
24,mark 2020-08-29,2020-08-29T10:45:47.391,43.6682301,-79.4185862,,,,0.0,
25,mark 2020-08-29,2020-08-29T10:45:47.393,43.6682301,-79.4185862,,,0.0,,
26,mark 2020-08-29,2020-08-29T10:45:48.135,43.6682301,-79.4185862,72.0,,,,
27,mark 2020-08-29,2020-08-29T10:45:48.387,43.6682301,-79.4185862,,,,,98.0
28,mark 2020-08-29,2020-08-29T10:45:48.389,43.6682301,-79.4185862,,0.0,,,
29,mark 2020-08-29,2020-08-29T10:45:48.391,43.6682301,-79.4185862,,,,0.0,
30,mark 2020-08-29,2020-08-29T10:45:48.393,43.6682301,-79.4185862,,,0.0,,
31,mark 2020-08-29,2020-08-29T10:45:49.637,43.6682301,-79.4185862,72.0,,,,
32,mark 2020-08-29,2020-08-29T10:45:49.639,43.6682301,-79.4185862,,,,,98.0
33,mark 2020-08-29,2020-08-29T10:45:49.640,43.6682301,-79.4185862,,0.0,,,
34,mark 2020-08-29,2020-08-29T10:45:49.666,43.6682301,-79.4185862,,,,0.0,
35,mark 2020-08-29,2020-08-29T10:45:49.668,43.6682301,-79.4185862,,,0.0,,
36,mark 2020-08-29,2020-08-29T10:45:51.138,43.668241,-79.4185782,73.0,,,,
37,mark 2020-08-29,2020-08-29T10:45:51.140,43.668241,-79.4185782,,,,,98.0
38,mark 2020-08-29,2020-08-29T10:45:51.152,43.668241,-79.4185782,,0.0,,,
39,mark 2020-08-29,2020-08-29T10:45:51.153,43.668241,-79.4185782,,,,0.0,
40,mark 2020-08-29,2020-08-29T10:45:51.155,43.668241,-79.4185782,,,0.0,,
41,mark 2020-08-29,2020-08-29T10:45:51.886,43.668241,-79.4185782,72.0,,,,
42,mark 2020-08-29,2020-08-29T10:45:51.890,43.668241,-79.4185782,,,,,98.0
43,mark 2020-08-29,2020-08-29T10:45:51.891,43.668241,-79.4185782,,0.0,,,
44,mark 2020-08-29,2020-08-29T10:45:51.892,43.668241,-79.4185782,,,,0.0,
45,mark 2020-08-29,2020-08-29T10:45:51.893,43.668241,-79.4185782,,,0.0,,
46,mark 2020-08-29,2020-08-29T10:45:52.385,43.668241,-79.4185782,73.0,,,,
47,mark 2020-08-29,2020-08-29T10:45:52.639,43.668241,-79.4185782,,,,,98.0
48,mark 2020-08-29,2020-08-29T10:45:52.642,43.668241,-79.4185782,,0.0,,,
49,mark 2020-08-29,2020-08-29T10:45:52.644,43.668241,-79.4185782,,,,0.0,
50,mark 2020-08-29,2020-08-29T10:45:52.645,43.668241,-79.4185782,,,0.0,,
51,mark 2020-08-29,2020-08-29T10:45:53.135,43.668241,-79.4185782,73.0,,,,
52,mark 2020-08-29,2020-08-29T10:45:53.141,43.668241,-79.4185782,,,,,98.0
53,mark 2020-08-29,2020-08-29T10:45:53.387,43.668241,-79.4185782,,0.0,,,
