sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM1,AirBeam2:001896105519,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2019-09-19T11:31:55.489-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:31:56.453-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:31:57.507-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:31:58.547-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:31:59.505-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:00.477-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:01.462-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:02.567-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:03.489-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:04.514-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:05.488-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:06.489-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:07.479-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:08.478-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:09.464-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:10.460-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:11.461-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:12.546-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:13.539-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:14.558-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:15.542-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:16.479-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:17.547-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:18.595-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:19.497-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:20.528-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:21.511-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:22.514-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:23.452-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:24.486-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:25.513-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:26.562-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:27.484-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:28.525-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:29.505-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:30.487-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:31.490-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:32.518-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:33.553-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:34.480-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:35.558-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:36.479-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:37.461-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:32:38.482-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:39.542-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:40.526-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:41.482-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:42.521-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:43.478-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:44.514-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:45.520-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:46.536-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:47.503-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:48.563-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:49.498-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:50.514-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:51.503-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:52.542-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:53.494-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:54.494-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:55.541-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:56.557-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:57.466-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:32:58.440-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:32:59.509-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:00.468-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:01.480-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:02.498-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:03.491-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:04.542-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:05.519-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:06.547-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:07.496-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:08.524-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:09.556-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:10.501-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:11.487-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:12.528-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:13.543-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:14.483-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:15.555-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:16.534-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:17.454-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:18.474-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:19.527-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:20.477-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:21.555-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:22.538-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:23.472-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:24.505-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:25.476-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:26.508-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:27.560-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:28.492-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:29.440-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:30.541-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:31.493-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:32.561-0400,43.6665177,-79.3981142,2.0
2019-09-19T11:33:33.507-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:34.506-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:35.474-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:36.585-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:37.465-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:38.483-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:39.535-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:40.522-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:41.491-0400,43.6665177,-79.3981142,1.0
2019-09-19T11:33:42.515-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:43.492-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:44.486-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:45.511-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:46.505-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:47.449-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:48.573-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:49.513-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:50.498-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:51.513-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:52.556-0400,43.6665177,-79.3981142,0.0
2019-09-19T11:33:53.474-0400,43.6665177,-79.3981142,0.0
