,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519,AirBeam2:001896105519
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam2-F,AirBeam2-PM1,AirBeam2-PM10,AirBeam2-PM2.5,AirBeam2-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,"starting at 401
",2020-07-25T11:00:58.766,43.65395,-79.62161,,,11.0,,
2,"starting at 401
",2020-07-25T11:00:59.270,43.65395,-79.62161,90.0,,,,
3,"starting at 401
",2020-07-25T11:00:59.271,43.65395,-79.62161,,,,,66.0
4,"starting at 401
",2020-07-25T11:00:59.275,43.65395,-79.62161,,7.0,,,
5,"starting at 401
",2020-07-25T11:00:59.276,43.65395,-79.62161,,,,9.0,
6,"starting at 401
",2020-07-25T11:00:59.766,43.65395,-79.62161,,,11.0,,
7,"starting at 401
",2020-07-25T11:01:00.270,43.65395,-79.62161,89.0,,,,67.0
8,"starting at 401
",2020-07-25T11:01:00.272,43.65395,-79.62161,,7.0,,9.0,
9,"starting at 401
",2020-07-25T11:01:00.524,43.65395,-79.62161,,,11.0,,
10,"starting at 401
",2020-07-25T11:01:01.270,43.65395,-79.62161,90.0,,,,
11,"starting at 401
",2020-07-25T11:01:01.271,43.65395,-79.62161,,,,,67.0
12,"starting at 401
",2020-07-25T11:01:01.272,43.65395,-79.62161,,6.0,,,
13,"starting at 401
",2020-07-25T11:01:01.273,43.65395,-79.62161,,,,8.0,
14,"starting at 401
",2020-07-25T11:01:01.767,43.65395,-79.62161,,,10.0,,
15,"starting at 401
",2020-07-25T11:01:02.520,43.65395,-79.62161,90.0,,,,
16,"starting at 401
",2020-07-25T11:01:02.521,43.65395,-79.62161,,,,,66.0
17,"starting at 401
",2020-07-25T11:01:02.523,43.65395,-79.62161,,6.0,,,
18,"starting at 401
",2020-07-25T11:01:02.524,43.65395,-79.62161,,,10.0,8.0,
19,"starting at 401
",2020-07-25T11:01:03.270,43.65395,-79.62161,89.0,,,,
20,"starting at 401
",2020-07-25T11:01:03.271,43.65395,-79.62161,,,,,67.0
21,"starting at 401
",2020-07-25T11:01:03.273,43.65395,-79.62161,,6.0,,,
22,"starting at 401
",2020-07-25T11:01:03.274,43.65395,-79.62161,,,,8.0,
23,"starting at 401
",2020-07-25T11:01:03.524,43.65395,-79.62161,,,10.0,,
24,"starting at 401
",2020-07-25T11:01:04.270,43.65395,-79.62161,90.0,,,,66.0
25,"starting at 401
",2020-07-25T11:01:04.271,43.65395,-79.62161,,5.0,,7.0,
26,"starting at 401
",2020-07-25T11:01:04.523,43.65395,-79.62161,,,9.0,,
27,"starting at 401
",2020-07-25T11:01:05.270,43.65395,-79.62161,89.0,,,,
28,"starting at 401
",2020-07-25T11:01:05.271,43.65395,-79.62161,,,,,67.0
29,"starting at 401
",2020-07-25T11:01:05.272,43.65395,-79.62161,,5.0,,7.0,
30,"starting at 401
",2020-07-25T11:01:05.523,43.65395,-79.62161,,,9.0,,
31,"starting at 401
",2020-07-25T11:01:06.270,43.65395,-79.62161,90.0,,,,67.0
32,"starting at 401
",2020-07-25T11:01:06.271,43.65395,-79.62161,,6.0,,8.0,
33,"starting at 401
",2020-07-25T11:01:06.766,43.65395,-79.62161,,,9.0,,
34,"starting at 401
",2020-07-25T11:01:07.270,43.65395,-79.62161,90.0,,,,67.0
35,"starting at 401
",2020-07-25T11:01:07.271,43.65395,-79.62161,,6.0,,,
36,"starting at 401
",2020-07-25T11:01:07.272,43.65395,-79.62161,,,,8.0,
37,"starting at 401
",2020-07-25T11:01:07.523,43.65395,-79.62161,,,9.0,,
38,"starting at 401
",2020-07-25T11:01:08.271,43.65395,-79.62161,90.0,,,,67.0
39,"starting at 401
",2020-07-25T11:01:08.272,43.65395,-79.62161,,6.0,,7.0,
40,"starting at 401
",2020-07-25T11:01:08.768,43.65395,-79.62161,,,9.0,,
41,"starting at 401
",2020-07-25T11:01:09.270,43.65395,-79.62161,90.0,,,,67.0
42,"starting at 401
",2020-07-25T11:01:09.271,43.65395,-79.62161,,5.0,,,
43,"starting at 401
",2020-07-25T11:01:09.272,43.65395,-79.62161,,,,7.0,
44,"starting at 401
",2020-07-25T11:01:09.525,43.65395,-79.62161,,,8.0,,
45,"starting at 401
",2020-07-25T11:01:10.270,43.65395,-79.62161,90.0,,,,67.0
46,"starting at 401
",2020-07-25T11:01:10.271,43.65395,-79.62161,,4.0,,,
47,"starting at 401
",2020-07-25T11:01:10.272,43.65395,-79.62161,,,,6.0,
48,"starting at 401
",2020-07-25T11:01:10.522,43.65395,-79.62161,,,7.0,,
49,"starting at 401
",2020-07-25T11:01:12.021,43.65395,-79.62161,90.0,,,,67.0
50,"starting at 401
",2020-07-25T11:01:12.022,43.65395,-79.62161,,3.0,8.0,6.0,
51,"starting at 401
",2020-07-25T11:01:12.520,43.65395,-79.62161,90.0,,,,
52,"starting at 401
",2020-07-25T11:01:12.521,43.65395,-79.62161,,3.0,8.0,6.0,67.0
53,"starting at 401
",2020-07-25T11:01:14.020,43.65395,-79.62161,90.0,,,,
54,"starting at 401
",2020-07-25T11:01:14.021,43.65395,-79.62161,,4.0,,,67.0
55,"starting at 401
",2020-07-25T11:01:14.021,43.65395,-79.62161,,,8.0,6.0,
56,"starting at 401
",2020-07-25T11:01:14.521,43.65395,-79.62161,89.0,,,,66.0
