group,type,sampleID,PFHxA_peakArea,PFHxA_RT,13C2PFHxA_peakArea,13C2PFHxA_RT,PFHpA_peakArea,PFHpA_RT,PFOA_peakArea,PFOA_RT,13C4PFOA_peakArea,13C4PFOA_RT,PFNA_peakArea,PFNA_RT,13C5PFNA_peakArea,13C5PFNA_RT,PFDA_peakArea,PFDA_RT,13C2PFDA_peakArea,13C2PFDA_RT,PFHxS_peakArea,PFHxS_RT,13C4PFHxS_peakArea,13C4PFHxS_RT,PFOS_peakArea,PFOS_RT,13C4PFOS_peakArea,13C4PFOS_RT
calCurve,std,20MC 0 ppb,0.00E+00,1.97,1.60E+05,3.65,0.00E+00,2.26,0.00E+00,2.65,2.44E+05,4,0.00E+00,3.29,2.59E+05,4.18,0.00E+00,2.96,2.08E+05,4.34,6.96E+02,3.82,1.05E+04,3.82,0.00E+00,0,6.32E+03,4.16
calCurve,std,20MC 0.2 ppb,2.84E+04,3.62,1.74E+05,3.62,3.39E+04,3.8,4.59E+04,3.97,3.02E+05,3.97,5.26E+04,4.15,2.93E+05,4.13,4.26E+04,4.3,2.81E+05,4.3,1.74E+03,3.81,1.15E+04,3.79,1.16E+03,4.12,9.21E+03,4.12
calCurve,std,20MC 0.4 ppb,4.51E+04,3.62,1.69E+05,3.61,4.96E+04,3.78,5.59E+04,3.96,2.55E+05,3.96,7.19E+04,4.12,3.11E+05,4.12,7.48E+04,4.28,3.24E+05,4.28,2.63E+03,3.77,1.06E+04,3.78,2.32E+03,4.11,9.80E+03,4.1
calCurve,std,20MC 1 ppb,9.09E+04,3.61,1.68E+05,3.61,9.45E+04,3.79,1.18E+05,3.96,2.30E+05,3.97,1.16E+05,4.12,2.55E+05,4.12,1.14E+05,4.28,2.27E+05,4.28,4.99E+03,3.8,9.67E+03,3.78,3.80E+03,4.11,7.34E+03,4.11
calCurve,std,20MC 2 ppb,1.84E+05,3.6,1.74E+05,3.6,1.77E+05,3.78,2.30E+05,3.96,2.70E+05,3.96,2.17E+05,4.12,2.88E+05,4.11,2.03E+05,4.27,2.52E+05,4.28,9.32E+03,3.77,1.20E+04,3.78,7.87E+03,4.1,8.75E+03,4.09
calCurve,std,20MC 4 ppb,3.84E+05,3.61,1.41E+05,3.6,3.60E+05,3.78,4.40E+05,3.96,2.11E+05,3.95,4.48E+05,4.11,2.08E+05,4.12,3.82E+05,4.27,1.75E+05,4.27,1.98E+04,3.77,8.51E+03,3.78,1.58E+04,4.08,6.91E+03,4.1
calCurve,std,20MC 10  ppb,1.10E+06,3.6,1.51E+05,3.6,9.50E+05,3.77,1.18E+06,3.95,2.37E+05,3.95,1.13E+06,4.11,2.11E+05,4.11,9.63E+05,4.27,1.76E+05,4.27,4.65E+04,3.78,9.04E+03,3.77,3.52E+04,4.09,6.78E+03,4.09
calCurve,std,20MC 20 ppb,1.90E+06,3.6,1.70E+05,3.6,1.68E+06,3.77,2.18E+06,3.95,2.55E+05,3.95,1.95E+06,4.11,2.06E+05,4.11,1.68E+06,4.27,1.72E+05,4.26,9.16E+04,3.76,8.87E+03,3.77,6.41E+04,4.09,6.98E+03,4.08
calCurve,std,20MC 40 ppb,3.05E+06,3.59,1.46E+05,3.59,2.70E+06,3.76,3.54E+06,3.93,2.60E+05,3.93,3.21E+06,4.09,1.98E+05,4.09,2.70E+06,4.25,1.86E+05,4.25,1.40E+05,3.75,7.32E+03,3.75,1.10E+05,4.08,6.34E+03,4.06
calCurve,std,20MC 100 ppb,7.21E+06,3.58,1.53E+05,3.58,6.42E+06,3.76,7.98E+06,3.93,3.56E+05,3.92,7.61E+06,4.09,1.82E+05,4.08,6.91E+06,4.25,1.90E+05,4.25,3.35E+05,3.75,7.31E+03,3.73,2.68E+05,4.07,6.34E+03,4.05
