group,sampleID,matrix,type,location,sampleMass
A,Grp A 20MC Sediment Sample #1 (Replicate 1),sediment,unknown,20MC,0.9952
A,Grp A 20MC Sediment Sample #1 (Replicate 2),sediment,unknown,20MC,0.9943
A,Grp A 20MC Sediment Sample #1 (Replicate 3),sediment,unknown,20MC,0.9996
A,Grp A 20MC Sand Spike #1,sediment,spike,20MC,0.9116
A,Grp A 20MC Sediment Lab Blank #1,sediment,labBlank,20MC,
A,Grp A 20MC Sediment Field Blank #1,sediment,fieldBlank,20MC,1.0811
B,Grp B 20MC Sediment Sample #2 (Replicate 1),sediment,unknown,20MC,1.0172
B,Grp B 20MC Sediment Sample #2 (Replicate 2),sediment,unknown,20MC,1.0119
B,Grp B 20MC Sediment Sample #2 (Replicate 3),sediment,unknown,20MC,1.0063
B,Grp B 20MC Sand Spike #2,sediment,spike,20MC,0.9994
B,Grp B 20MC Sediment Lab Blank #2,sediment,labBlank,20MC,
B,Grp B 20MC Sediment Field Blank #2,sediment,fieldBlank,20MC,0.999
C,Grp C 20MC Sediment Sample #3 (Replicate 1),sediment,unknown,20MC,0.9993
C,Grp C 20MC Sediment Sample #3 (Replicate 2),sediment,unknown,20MC,0.9969
C,Grp C 20MC Sediment Sample #3 (Replicate 3),sediment,unknown,20MC,0.9964
C,Grp C 20MC Sand Spike #3,sediment,spike,20MC,1.1266
C,Grp C 20MC Sediment Lab Blank #3,sediment,labBlank,20MC,
C,Grp C 20MC Sediment Field Blank #3,sediment,fieldBlank,20MC,1.0099
D,Grp D NIA Sample #1 (Replicate 1),sediment,unknown,NIA,1.0042
D,Grp D NIA Sample #1 (Replicate 2),sediment,unknown,NIA,1.0087
D,Grp D NIA Sample #1 (Replicate 3),sediment,unknown,NIA,1.009
D,Grp D NIA Sand Spike #1,sediment,spike,NIA,1.0035
D,Grp D NIA Lab Blank #1,sediment,labBlank,NIA,
D,Grp D NIA Field Blank #1,sediment,fieldBlank,NIA,1.0068
E,Grp E NIA Sample #2 (Replicate 1),sediment,unknown,NIA,0.9983
E,Grp E NIA Sample #2 (Replicate 2),sediment,unknown,NIA,1.0174
E,Grp E NIA Sample #2 (Replicate 3),sediment,unknown,NIA,1.0034
E,Grp E NIA Sand Spike #2,sediment,spike,NIA,1.0076
E,Grp E NIA Lab Blank #2,sediment,labBlank,NIA,
E,Grp E NIA Field Blank #2,sediment,fieldBlank,NIA,0.998
F,Grp F NIA Sample #3 (Replicate 1),sediment,unknown,NIA,0.9944
F,Grp F NIA Sample #3 (Replicate 2),sediment,unknown,NIA,0.9981
F,Grp F NIASample #3 (Replicate 3),sediment,unknown,NIA,0.9945
F,Grp F NIA Sand Spike #3,sediment,spike,NIA,1.0751
F,Grp F NIA Lab Blank #3,sediment,labBlank,NIA,
F,Grp F NIA Field Blank #3,sediment,fieldBlank,NIA,1.0055
