Congener,Sludge1_undiluted,Sludge2_undiluted,Sludge3_undiluted,Sludge4_undiluted,Sludge5_undiluted,Sludge6_undiluted,Sludge7_undiluted,Sludge8_undiluted,Sludge9_undiluted,Sludge10_undiluted,Sludge11_undiluted,Sludge12_undiluted,Sludge13_undiluted,Sludge14_undiluted,Sludge15_undiluted,Sludge16_undiluted,Sludge17_undiluted,Sludge18_undiluted,Sludge19_undiluted,Sludge20_undiluted,Sludge21_undiluted,Sludge22_undiluted,Sludge23_undiluted,Sludge24_undiluted,Sludge25_undiluted
C10H12Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H13Cl9,0,0,0,0,4.854997892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H14Cl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11758607,25.39312938,7.320327908,3.994743441,14.8577058,0,0,0,0,0
C10H15Cl7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76729307,2.481916698,12.12208186,105.9343392,10.05941991,8.510169959,33.89190131,0,0,0,0,0
C10H16Cl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10H17Cl5,0,0,0,0,0,0,0,0,0,0,57.37932168,38.75634982,5.999313238,12.8995906,516.1479327,245.5433738,1453.184804,679.7885302,546.0270393,2088.498282,39.12685674,26.84673785,0,0,5.365595473
C11H13Cl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H14Cl10,0,0,0,0,0,0,0,0,9.693870618,7.458816425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H15Cl9,0,0,0,0,0,0,0,0,0.282136688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11H16Cl8,0,8.992023738,0,2.259499696,0,0.312999285,0.015559365,0,2.166668292,0,0,0,0.686283947,2.429917965,38.32249996,42.9361411,172.4884989,6.865573681,52.5872146,95.96493389,0,0,0,0,0
C11H17Cl7,0,0,0,0,0,0,0,0,0,3.157762011,0,6.341153764,5.30538322,4.599759122,63.70077507,121.3412024,369.8484001,54.30649082,112.6153586,176.8752696,0,0,0,0,0
C11H18Cl6,0,0,0,0,0,0,0,0,0,0,0,2.69952987,0,0,8.386818116,30.44488817,89.88358046,3.353562679,14.56827729,25.79862863,0,0,0,0,0
C11H19Cl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774914938,0,0,0,0,0,0,0,0,0,0,0
C12H14Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12H15Cl11,0,16.1026676,0,0,0,0,0,0,0,1.623029872,0,0,0,0,0,0,0.487140769,0,0,6.36453527,0,0,0,0,0
C12H16Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12H17Cl9,0,0,0,0,0,2.556909921,0,0,5.424375721,0,0,0,0,0,12.96892243,81.53304898,0,25.17029379,150.281745,117.8594732,0,0,0,0,0
C12H18Cl8,0,0,0,0,0,0,0,0,0,9.153413872,0,6.589542951,0,12.37639766,279.8038928,738.678993,74.51645189,365.0902101,1272.149268,882.5571803,0,0,0,0,0
C12H19Cl7,0,14.25803276,0,0,0,0,9.559591011,0,0,8.227041453,8.791825263,35.27757621,8.960213279,33.17306921,533.8283286,1239.373716,180.2820992,739.3485624,2257.30536,1612.652325,0,0,0,0,0
C12H20Cl6,0,0,0,5.262806321,0,0,11.31186879,0,0,0,0,6.251144446,0,6.156347346,124.7921491,223.7409251,73.51474846,160.7338453,392.47673,345.1491579,0,6.426552794,0,0,0
C12H21Cl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4660816,0
C13H15Cl13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13H16Cl12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13H17Cl11,0,0,3.291408358,0.008322522,0,0,0,0,0,1.091128179,0,0,11.49933054,0,13.47526322,1.990100199,0,0,3.776692067,0,0,0,0,0,4.140707636
C13H18Cl10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13H19Cl9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
