Congener,Samples,Values
C10H12Cl10,Sludge1_undiluted,0
C10H13Cl9,Sludge1_undiluted,0
C10H14Cl8,Sludge1_undiluted,0
C10H15Cl7,Sludge1_undiluted,0
C10H16Cl6,Sludge1_undiluted,0
C10H17Cl5,Sludge1_undiluted,0
C11H13Cl11,Sludge1_undiluted,0
C11H14Cl10,Sludge1_undiluted,0
C11H15Cl9,Sludge1_undiluted,0
C11H16Cl8,Sludge1_undiluted,0
C11H17Cl7,Sludge1_undiluted,0
C11H18Cl6,Sludge1_undiluted,0
C11H19Cl5,Sludge1_undiluted,0
C12H14Cl12,Sludge1_undiluted,0
C12H15Cl11,Sludge1_undiluted,0
C12H16Cl10,Sludge1_undiluted,0
C12H17Cl9,Sludge1_undiluted,0
C12H18Cl8,Sludge1_undiluted,0
C12H19Cl7,Sludge1_undiluted,0
C12H20Cl6,Sludge1_undiluted,0
C12H21Cl5,Sludge1_undiluted,0
C13H15Cl13,Sludge1_undiluted,0
C13H16Cl12,Sludge1_undiluted,0
C13H17Cl11,Sludge1_undiluted,0
C13H18Cl10,Sludge1_undiluted,0
C13H19Cl9,Sludge1_undiluted,0
C13H20Cl8,Sludge1_undiluted,0
C13H21Cl7,Sludge1_undiluted,18.91961607
C13H22Cl6,Sludge1_undiluted,0
C13H23Cl5,Sludge1_undiluted,0
C14H16Cl14,Sludge1_undiluted,0
C14H17Cl13,Sludge1_undiluted,0
C14H18Cl12,Sludge1_undiluted,0
C14H19Cl11,Sludge1_undiluted,0
C14H20Cl10,Sludge1_undiluted,0
C14H21Cl9,Sludge1_undiluted,0
C14H22Cl8,Sludge1_undiluted,48.51271602
C14H23Cl7,Sludge1_undiluted,131.8118039
C14H24Cl6,Sludge1_undiluted,123.2351019
C14H25Cl5,Sludge1_undiluted,12.7737199
C15H17Cl15,Sludge1_undiluted,0
C15H18Cl14,Sludge1_undiluted,6.398228148
C15H19Cl13,Sludge1_undiluted,0
C15H20Cl12,Sludge1_undiluted,0
C15H21Cl11,Sludge1_undiluted,0
C15H22Cl10,Sludge1_undiluted,0
C15H23Cl9,Sludge1_undiluted,0
C15H24Cl8,Sludge1_undiluted,0
C15H25Cl7,Sludge1_undiluted,0
C15H26Cl6,Sludge1_undiluted,60.76593031
C15H27Cl5,Sludge1_undiluted,3.212713135
C16H18Cl16,Sludge1_undiluted,0
C16H19Cl15,Sludge1_undiluted,0
C16H20Cl14,Sludge1_undiluted,0
C16H21Cl13,Sludge1_undiluted,0
C16H22Cl12,Sludge1_undiluted,0
C16H23Cl11,Sludge1_undiluted,0
C16H24Cl10,Sludge1_undiluted,0
C16H25Cl9,Sludge1_undiluted,0
C16H26Cl8,Sludge1_undiluted,9.940141182
C16H27Cl7,Sludge1_undiluted,27.14272805
