Final_Formula_Match,C11H11ClN2O,C6H4Cl2N2O2,C6H4ClN3O4,C6H3ClN2O5,C13H11ClO,C12H10ClN3,C14H21ClO,C13H11ClN2O2,C9H9Cl2NO,C12H8Cl2O2,C14H13ClN2O2,C13H10ClNO,C15H23ClO2,C12H7Cl3O2,C13H15ClN2O4,C16H17ClO,C14H8Cl2N2O2,C16H10ClN3O3,C16H17ClN4O3,C14H13ClN4O3,C16H16Cl2N4O2,C13H10ClN3O6S,C17H15ClN4O4,C15H18ClN5O3S,C17H15ClN4O5,C16H12Cl2N4O4,C16H13ClN4O4,C24H33ClO,C22H28ClN3O3S,C16H15Cl3N4O4,C24H17ClN4O4,C9H15Cl6O4P,C26H35ClN2O4,C23H21ClN6O5,C20H20Cl2N4O6,C22H24ClN5O7,C20H20BrClN4O6,C23H25ClN6O10,C13H24Cl6O8P2
Peak Intensity - Dust 11,0,129353.25,253351.6406,142586.125,25084.01172,0,265822.125,0,1712035.125,3751952,75653.10938,103524.3438,41189.52344,901629.875,255154.3281,112259.2813,110133.3906,118954.4844,46823.59766,360721.5625,495662.5313,0,103575.8359,532817.5,441448.5938,192174.0938,6396444.5,307072.8438,192814.1875,0,32769.47656,311729.8125,93123.35938,361951.8125,515766.0938,90465.0625,296234.8125,163177.6406,0
Peak Intensity - Dust 12,0,80440.32031,210971.4375,70000.49219,39629.62891,0,266364.9063,0,113238.0391,227451.875,45357.94922,0,35042.64844,71187.5,16667.28125,20094.13477,49871.35156,57631.45703,53447.22656,150488.0781,202606.4063,0,7855.817383,707058.8125,140798.5156,177995.0781,1994654.125,408023.1875,759718.1875,76279.90625,20729.25391,0,47000.56641,413081.25,315995.6875,14120.52637,333547.75,235124.0938,0
Peak Intensity - Dust 13,0,9719.813477,96677.375,27026.97461,7108.632324,0,265395.1875,0,161840.1094,515716.625,11615.47559,9155.911133,20641.35547,105597.0859,59769.85547,188593.3594,105229.9375,22067.82617,9981.008789,16668.49023,36847.65625,0,0,89564.46875,85088.35156,190772.8594,370828.6875,304285.5,804085.25,0,0,4200.54834,34242.96094,321407.7188,72355.85938,18903.72266,99343.15625,35172.5,0
Peak Intensity - Dust 16,0,251799.5156,642305.6875,544181.125,20075.98633,0,316140.2188,0,1752605.875,3383463.75,151419.3125,26685.85938,103457.5,951275.6875,256159.4844,135734.1719,156653.5156,141500.9844,631067.0625,45017.43359,750663,0,12478.69043,3104728,593970.875,172669.4844,6664481.5,303651.7188,400708.375,56264.61328,56636.57813,32039708,194371.125,381541.5,882799.5,0,1194612.375,1008956.063,0
Peak Intensity - Dust 19,0,48676.47656,104039.4453,73048.92969,29464.61133,0,358875.8125,0,165514.4688,476084.4375,21614.01367,0,18095.12109,108169.9688,158455.5,74381.01563,4502.449707,34361.88281,20547.43359,20883.62695,61138.99609,0,9224.385742,311852.2813,203584.5625,157341.875,1076234.25,439536.4375,779817,4566.856934,0,25338.00586,75277.42188,565778.1875,113117.7734,34821.03906,204076.5469,95105.11719,0
Peak Intensity - Dust 2,0,21345.28125,234073.125,133174.1406,10893.33691,0,401649,13728.6123,3199831.25,5721069.5,57900.51563,23844.70117,192782.4375,1516467.25,672922.625,152975.4219,56439.84375,47391.59766,79521.4375,58130.12891,161835.2188,0,0,903250.1875,455935.6563,276120.1563,1269650.75,497857.125,838761.6875,51692.41797,113475.0859,0,124627.2813,556215.0625,261086.1719,39527.81641,738942.5625,420496.125,444229.875
Peak Intensity - Dust 20,0,14834.43945,46395.89063,23503.43359,0,0,286554.5313,0,37259.72266,110772.4375,18924.89258,0,13944.58594,24816.37891,77739.07813,9004.572266,7754.175293,24156.89063,19520.2207,5041.117676,18676.93164,0,0,149292.5313,129579.4766,184156.3125,333361.2188,413861.5313,971433,4214.894043,0,0,15670.02734,361199.3125,49257.11328,10703.10645,120190.7969,36050.83984,0
Peak Intensity - Dust 21,0,10666.61914,94306.70313,126671.3438,5102.68457,0,308450.75,0,50392.44531,158041.0156,13016.53516,0,10032.21289,39037.42969,57326.02734,27465.14453,22072.05469,15569.5791,55913.92188,6452.925293,12366.89355,0,0,11107.86426,11363.79883,271041.4688,319670.5938,341137.8438,305822.1875,0,0,3484510.5,44378.94141,436551.875,58958.28125,28054.27344,116050.375,0,0
Peak Intensity - Dust 22,0,16150.98926,112721.8594,13397.35156,0,0,421051.0625,0,74180.1875,262476.9375,14156.32617,2244.25293,13398.91211,61521.19531,24568.27539,13443.53906,6666.901367,24606.68164,9396.150391,0,0,0,4253.858398,0,14784.74902,231481.2656,38083.86328,453495.3125,420508.1875,0,0,0,45007.50781,432016.1563,25477.94922,16979.67969,49001.53516,2582.105713,0
Peak Intensity - Dust 23,0,98424.45313,274039.125,174967.4688,1240668.25,0,279471.1875,0,170962.4688,546002.9375,79098.26563,15313.85938,46360.25,143187.0938,91414.3125,221821.1406,82049.13281,84600.67969,59084.63672,120198.1563,702751.9375,0,18631.46289,911635.75,486692.25,285400.4063,2852285,773180.3125,545456.6875,18091.95117,0,0,80680.07813,442588.0625,274634.625,20263.05664,475952.7813,208225.0313,0
