name,casrn,congener_number,category,cid,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,iupac_name,x_log_p,exact_mass,monoisotopic_mass,tpsa,h_bond_donor_count,h_bond_acceptor_count,volume3d
2-Chlorobiphenyl,2051-60-7,1,Congener,249266,C12H9Cl,188.65,C1=CC=C(C=C1)C2=CC=CC=C2Cl,C1=CC=C(C=C1)C2=CC=CC=C2Cl,1-chloro-2-phenylbenzene,4.5,188.0392780,188.0392780,0,0,0,143.5
3-Chlorobiphenyl,2051-61-8,2,Congener,16322,C12H9Cl,188.65,C1=CC=C(C=C1)C2=CC(=CC=C2)Cl,C1=CC=C(C=C1)C2=CC(=CC=C2)Cl,1-chloro-3-phenylbenzene,4.6,188.0392780,188.0392780,0,0,0,144.1
4-Chlorobiphenyl,2051-62-9,3,Congener,16323,C12H9Cl,188.65,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,1-chloro-4-phenylbenzene,4.6,188.0392780,188.0392780,0,0,0,142.9
"2,2'-Dichlorobiphenyl",13029-08-8,4,Congener,25622,C12H8Cl2,223.09,C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl,C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl,1-chloro-2-(2-chlorophenyl)benzene,5,222.0003056,222.0003056,0,0,0,158.2
"2,3-Dichlorobiphenyl",16605-91-7,5,Congener,27959,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=C(C(=CC=C2)Cl)Cl,C1=CC=C(C=C1)C2=C(C(=CC=C2)Cl)Cl,"1,2-dichloro-3-phenylbenzene",4.8,222.0003056,222.0003056,0,0,0,158.2
"2,3'-Dichlorobiphenyl",25569-80-6,6,Congener,33100,C12H8Cl2,223.09,C1=CC=C(C(=C1)C2=CC(=CC=C2)Cl)Cl,C1=CC=C(C(=C1)C2=CC(=CC=C2)Cl)Cl,1-chloro-2-(3-chlorophenyl)benzene,5,222.0003056,222.0003056,0,0,0,158.5
"2,4-Dichlorobiphenyl",33284-50-3,7,Congener,36399,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=C(C=C(C=C2)Cl)Cl,C1=CC=C(C=C1)C2=C(C=C(C=C2)Cl)Cl,"2,4-dichloro-1-phenylbenzene",5.3,222.0003056,222.0003056,0,0,0,157.3
"2,4'-Dichlorobiphenyl",34883-43-7,8,Congener,36982,C12H8Cl2,223.09,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)Cl,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)Cl,1-chloro-2-(4-chlorophenyl)benzene,5.1,222.0003056,222.0003056,0,0,0,157.3
"2,5-Dichlorobiphenyl",34883-39-1,9,Congener,36980,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=C(C=CC(=C2)Cl)Cl,C1=CC=C(C=C1)C2=C(C=CC(=C2)Cl)Cl,"1,4-dichloro-2-phenylbenzene",5.2,222.0003056,222.0003056,0,0,0,158.5
"2,6-Dichlorobiphenyl",33146-45-1,10,Congener,36342,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=C(C=CC=C2Cl)Cl,C1=CC=C(C=C1)C2=C(C=CC=C2Cl)Cl,"1,3-dichloro-2-phenylbenzene",5,222.0003056,222.0003056,0,0,0,157.9
"3,3'-Dichlorobiphenyl",2050-67-1,11,Congener,16307,C12H8Cl2,223.09,C1=CC(=CC(=C1)Cl)C2=CC(=CC=C2)Cl,C1=CC(=CC(=C1)Cl)C2=CC(=CC=C2)Cl,1-chloro-3-(3-chlorophenyl)benzene,5.2,222.0003056,222.0003056,0,0,0,158.8
"3,4-Dichlorobiphenyl",2974-92-7,12,Congener,18102,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=CC(=C(C=C2)Cl)Cl,C1=CC=C(C=C1)C2=CC(=C(C=C2)Cl)Cl,"1,2-dichloro-4-phenylbenzene",5.3,222.0003056,222.0003056,0,0,0,157.6
"3,4'-Dichlorobiphenyl",2974-90-5,13,Congener,18101,C12H8Cl2,223.09,C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)Cl,C1=CC(=CC(=C1)Cl)C2=CC=C(C=C2)Cl,1-chloro-3-(4-chlorophenyl)benzene,5.2,222.0003056,222.0003056,0,0,0,157.6
"3,5-Dichlorobiphenyl",34883-41-5,14,Congener,36981,C12H8Cl2,223.09,C1=CC=C(C=C1)C2=CC(=CC(=C2)Cl)Cl,C1=CC=C(C=C1)C2=CC(=CC(=C2)Cl)Cl,"1,3-dichloro-5-phenylbenzene",4.8,222.0003056,222.0003056,0,0,0,159.1
"4,4'-Dichlorobiphenyl",2050-68-2,15,Congener,16308,C12H8Cl2,223.09,C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,1-chloro-4-(4-chlorophenyl)benzene,5.6,222.0003056,222.0003056,0,0,0,156.4
"2,2',3-Trichlorobiphenyl",38444-78-9,16,Congener,38032,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=C(C(=CC=C2)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C(=CC=C2)Cl)Cl)Cl,"1,2-dichloro-3-(2-chlorophenyl)benzene",5.3,255.961333,255.961333,0,0,0,172.8
"2,2',4-Trichlorobiphenyl",37680-66-3,17,Congener,37804,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=C(C=C(C=C2)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C=C(C=C2)Cl)Cl)Cl,"2,4-dichloro-1-(2-chlorophenyl)benzene",5.8,255.961333,255.961333,0,0,0,171.9
"2,2',5-Trichlorobiphenyl",37680-65-2,18,Congener,37803,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=C(C=CC(=C2)Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C=CC(=C2)Cl)Cl)Cl,"1,4-dichloro-2-(2-chlorophenyl)benzene",5.6,255.961333,255.961333,0,0,0,173.2
"2,2',6-Trichlorobiphenyl",38444-73-4,19,Congener,38029,C12H7Cl3,257.5,C1=CC=C(C(=C1)C2=C(C=CC=C2Cl)Cl)Cl,C1=CC=C(C(=C1)C2=C(C=CC=C2Cl)Cl)Cl,"1,3-dichloro-2-(2-chlorophenyl)benzene",5.5,255.961333,255.961333,0,0,0,172.3
