casrn,congener_number,name,category
2051-60-7,1,2-Chlorobiphenyl,Congener
2051-61-8,2,3-Chlorobiphenyl,Congener
2051-62-9,3,4-Chlorobiphenyl,Congener
13029-08-8,4,"2,2'-Dichlorobiphenyl",Congener
16605-91-7,5,"2,3-Dichlorobiphenyl",Congener
25569-80-6,6,"2,3'-Dichlorobiphenyl",Congener
33284-50-3,7,"2,4-Dichlorobiphenyl",Congener
34883-43-7,8,"2,4'-Dichlorobiphenyl",Congener
34883-39-1,9,"2,5-Dichlorobiphenyl",Congener
33146-45-1,10,"2,6-Dichlorobiphenyl",Congener
2050-67-1,11,"3,3'-Dichlorobiphenyl",Congener
2974-92-7,12,"3,4-Dichlorobiphenyl",Congener
2974-90-5,13,"3,4'-Dichlorobiphenyl",Congener
34883-41-5,14,"3,5-Dichlorobiphenyl",Congener
2050-68-2,15,"4,4'-Dichlorobiphenyl",Congener
38444-78-9,16,"2,2',3-Trichlorobiphenyl",Congener
37680-66-3,17,"2,2',4-Trichlorobiphenyl",Congener
37680-65-2,18,"2,2',5-Trichlorobiphenyl",Congener
38444-73-4,19,"2,2',6-Trichlorobiphenyl",Congener
38444-84-7,20,"2,3,3'-Trichlorobiphenyl",Congener
55702-46-0,21,"2,3,4-Trichlorobiphenyl",Congener
38444-85-8,22,"2,3,4'-Trichlorobiphenyl",Congener
55720-44-0,23,"2,3,5-Trichlorobiphenyl",Congener
55702-45-9,24,"2,3,6-Trichlorobiphenyl",Congener
55712-37-3,25,"2,3',4-Trichlorobiphenyl",Congener
38444-81-4,26,"2,3',5-Trichlorobiphenyl",Congener
38444-76-7,27,"2,3',6-Trichlorobiphenyl",Congener
7012-37-5,28,"2,4,4'-Trichlorobiphenyl",Congener
15862-07-4,29,"2,4,5-Trichlorobiphenyl",Congener
35693-92-6,30,"2,4,6-Trichlorobiphenyl",Congener
16606-02-3,31,"2,4',5-Trichlorobiphenyl",Congener
38444-77-8,32,"2,4',6-Trichlorobiphenyl",Congener
38444-86-9,33,"2,3',4'-Trichlorobiphenyl",Congener
37680-68-5,34,"2,3',5'-Trichlorobiphenyl",Congener
37680-69-6,35,"3,3',4-Trichlorobiphenyl",Congener
38444-87-0,36,"3,3',5-Trichlorobiphenyl",Congener
38444-90-5,37,"3,4,4'-Trichlorobiphenyl",Congener
53555-66-1,38,"3,4,5-Trichlorobiphenyl",Congener
