"NAPS","Time","O3","NO2"
60435,2020-01-20 23:00:00,5,41
60435,2020-01-21 00:00:00,6,39
60435,2020-01-21 01:00:00,4,43
60435,2020-01-21 02:00:00,1,48
60435,2020-01-21 03:00:00,3,43
60435,2020-01-21 04:00:00,1,47
60435,2020-01-21 05:00:00,1,48
60435,2020-01-21 06:00:00,1,49
60435,2020-01-21 07:00:00,1,61
60435,2020-01-21 08:00:00,2,54
60435,2020-01-21 09:00:00,12,33
60435,2020-01-21 10:00:00,25,18
60435,2020-01-21 11:00:00,30,15
60435,2020-01-21 12:00:00,34,12
60435,2020-01-21 13:00:00,34,10
60435,2020-01-21 14:00:00,34,10
60435,2020-01-21 15:00:00,33,10
60435,2020-01-21 16:00:00,33,11
60435,2020-01-21 17:00:00,31,14
60435,2020-01-21 18:00:00,27,20
60435,2020-01-21 19:00:00,31,15
60435,2020-01-21 20:00:00,33,11
60435,2020-01-21 21:00:00,30,12
60435,2020-01-21 22:00:00,28,14
60435,2020-01-21 23:00:00,26,14
60435,2020-01-22 00:00:00,26,15
60435,2020-01-22 01:00:00,24,18
60435,2020-01-22 02:00:00,26,16
60435,2020-01-22 03:00:00,24,17
60435,2020-01-22 04:00:00,22,18
60435,2020-01-22 05:00:00,15,27
60435,2020-01-22 06:00:00,20,19
60435,2020-01-22 07:00:00,16,22
60435,2020-01-22 08:00:00,18,19
60435,2020-01-22 09:00:00,23,15
60435,2020-01-22 10:00:00,27,11
60435,2020-01-22 11:00:00,23,18
60435,2020-01-22 12:00:00,-999,20
60435,2020-01-22 13:00:00,25,16
60435,2020-01-22 14:00:00,31,11
60435,2020-01-22 15:00:00,30,12
60435,2020-01-22 16:00:00,26,17
60435,2020-01-22 17:00:00,20,23
60435,2020-01-22 18:00:00,20,23
60435,2020-01-22 19:00:00,22,19
60435,2020-01-22 20:00:00,22,18
60435,2020-01-22 21:00:00,18,21
60435,2020-01-22 22:00:00,17,22
60435,2020-01-22 23:00:00,15,25
60435,2020-01-23 00:00:00,12,31
60435,2020-01-23 01:00:00,13,27
60435,2020-01-23 02:00:00,9,31
