wavenumber,EPDM,Polystyrene,Polyethylene,Sample: Shopping bag
550.0952,0.2119556,0.07463058,0.000873196,0.02364882
550.5773,0.2124079,0.07455246,0.000834192,0.02382648
551.0594,0.2128818,0.07450471,0.000819447,0.02387163
551.5415,0.2133267,0.07449704,0.000825491,0.02391921
552.0236,0.2137241,0.07452058,0.000868397,0.02396947
552.5057,0.2140997,0.07455528,0.000949017,0.02402323
552.9879,0.2145173,0.07458498,0.001008869,0.02408946
553.47,0.2150495,0.07458818,0.0010252,0.02413738
553.9521,0.2156501,0.07456694,0.001053734,0.02419313
554.4342,0.2163207,0.07452466,0.001066902,0.02424033
554.9163,0.2170318,0.07447084,0.001056188,0.02426789
555.3984,0.2177349,0.07441481,0.001044501,0.02427777
555.8806,0.2184014,0.07436047,0.001051706,0.02427188
556.3627,0.2190562,0.07430276,0.001061679,0.02424267
556.8448,0.2196827,0.0742451,0.001119621,0.02422142
557.3269,0.2202756,0.0741929,0.001223141,0.02422678
557.809,0.2208065,0.07415483,0.00135028,0.0242722
558.2911,0.221236,0.0741393,0.001465345,0.02436322
558.7733,0.2216212,0.07413711,0.001464324,0.02443497
559.2554,0.2218603,0.07416032,0.001438965,0.02455257
559.7375,0.2219969,0.07420024,0.001366238,0.02471445
560.2196,0.2221402,0.07423479,0.001246062,0.02486027
560.7017,0.2223532,0.07425515,0.001116078,0.02497118
561.1838,0.2226563,0.07426071,0.001017787,0.0250296
561.666,0.2229459,0.07428109,0.000988206,0.02511967
562.1481,0.2232875,0.07429599,0.00100124,0.02509523
562.6302,0.2236148,0.07432249,0.000993165,0.02502063
563.1123,0.2238745,0.07435767,0.000975268,0.0249352
563.5944,0.2240832,0.07438361,0.000923987,0.0248624
564.0765,0.224298,0.07437853,0.00083123,0.02482302
564.5587,0.2245866,0.07432961,0.000708671,0.02482992
565.0408,0.2249863,0.07423984,0.000581324,0.02488362
565.5229,0.225487,0.07412762,0.000478958,0.02497218
566.005,0.2260382,0.07401957,0.000424525,0.02507601
566.4871,0.2265814,0.07394053,0.000427042,0.02517413
566.9692,0.2270763,0.07390393,0.00048221,0.02525094
567.4514,0.2275181,0.07390468,0.000573091,0.0252976
567.9335,0.2279388,0.07392276,0.000678977,0.02531591
568.4156,0.2283955,0.07394201,0.000738695,0.02532752
568.8977,0.2288922,0.07394005,0.000828775,0.02531433
569.3798,0.2294581,0.07392486,0.000853543,0.02528072
569.8619,0.229952,0.0739194,0.000925694,0.02528196
570.3441,0.2303643,0.07393811,0.000999053,0.02529481
570.8262,0.2306875,0.07398935,0.00104518,0.02530078
571.3083,0.2309022,0.0740733,0.001098642,0.02530916
571.7904,0.2310507,0.07417244,0.001161455,0.02531715
572.2725,0.2312031,0.07426257,0.001230932,0.02532347
572.7546,0.2314499,0.07431713,0.001248218,0.02530386
573.2368,0.2317253,0.07433052,0.001294582,0.02529831
573.7189,0.2320503,0.07430036,0.001311368,0.02528431
574.201,0.2323979,0.07423897,0.001290407,0.02526152
574.6831,0.2327415,0.0741655,0.001234038,0.02523328
575.1652,0.2330672,0.07409609,0.001155067,0.02520236
575.6473,0.2333857,0.07404159,0.001072302,0.02517463
576.1295,0.233724,0.07400767,0.001007114,0.0251565
576.6116,0.2341043,0.07399778,0.000974938,0.0251547
577.0937,0.2345269,0.07401179,0.000980172,0.02517252
577.5758,0.234979,0.07404649,0.00101488,0.02521104
578.0579,0.2354426,0.07409444,0.001060996,0.02526754
