chemical,concentration,analyte_peak_area_counts,IS_peak_area_counts
TCEP,0,0,3120000
TCEP,0.25,44700,3310000
TCEP,0.5,90100,3200000
TCEP,1,194000,3100000
TCEP,2.5,393000,3140000
TCEP,5,747000,3020000
TCEP,10,1530000,3030000
TCEP,25,3830000,2990000
TDCP,0,0,413000
TDCP,0.5,39700,395000
TDCP,1,93300,397000
TDCP,2.5,189000,372000
TDCP,5,385000,348000
TDCP,10,755000,395000
TDCP,25,1740000,377000
TDCP,50,3340000,386000
TDCP,100,6300000,349000
TBEP,0,0,4970000
TBEP,0.25,63700,5020000
TBEP,0.5,118000,4960000
TBEP,1,236000,4790000
TBEP,2.5,716000,4840000
TBEP,5,1370000,4510000
TBEP,10,2580000,4690000
TBEP,25,5930000,4490000
TBEP,50,10900000,4500000
TBEP,100,18500000,4410000
