chemical,concentration,analyte_peak_area_counts,IS_peak_area_counts
TCEP,,182000,3830000
TCEP,,100000,6680000
TCEP,,671000,5160000
TCEP,,2870000,2910000
TCEP,,2920000,3440000
TCEP,,391000,2260000
TCEP,,348000,1590000
TCEP,,256000,1080000
TCEP,,183000,1100000
TCEP,,187000,750000
TCEP,,123000,1100000
TDCP,,0,862000
TDCP,,0,1010000
TDCP,,294000,658000
TDCP,,1500000,498000
TDCP,,994000,637000
TDCP,,786000,348000
TDCP,,1130000,227000
TDCP,,869000,132000
TDCP,,423000,179000
TDCP,,496000,109000
TDCP,,140000,143000
TBEP,,1490000,10500000
TBEP,,167000,11200000
TBEP,,808000,5390000
TBEP,,6530000,4470000
TBEP,,3270000,5800000
TBEP,,76400000,3450000
TBEP,,89800000,2790000
TBEP,,78700000,1710000
TBEP,,11900000,1970000
TBEP,,16200000,1120000
TBEP,,6650000,1340000
