"ID","Name","Age","Score"
1,"Name_1",50,65.99
2,"Name_2",34,65.39
3,"Name_3",70,60.99
4,"Name_4",33,68.47
5,"Name_5",22,99.21
6,"Name_6",61,57.71
7,"Name_7",69,54.55
8,"Name_8",62,57.1
9,"Name_9",56,84.5
10,"Name_10",33,80.96
11,"Name_11",44,94.57
12,"Name_12",45,83.65
13,"Name_13",46,86.85
14,"Name_14",24,76.06
15,"Name_15",70,82.99
16,"Name_16",46,91.09
17,"Name_17",47,89.31
18,"Name_18",28,98.99
19,"Name_19",48,71.97
20,"Name_20",54,65.59
21,"Name_21",27,70.47
22,"Name_22",45,50.52
23,"Name_23",26,59.19
24,"Name_24",61,92.14
25,"Name_25",28,61.56
26,"Name_26",38,61.95
27,"Name_27",55,53.83
28,"Name_28",33,62.29
29,"Name_29",36,86.61
30,"Name_30",62,92.37
31,"Name_31",58,74.88
32,"Name_32",31,69.4
33,"Name_33",34,62.32
34,"Name_34",51,55.55
35,"Name_35",61,69.5
36,"Name_36",64,78.6
37,"Name_37",26,60.84
38,"Name_38",28,72.24
39,"Name_39",60,60.9
40,"Name_40",29,75.11
41,"Name_41",42,67.7
42,"Name_42",46,82.5
43,"Name_43",26,68.74
44,"Name_44",46,67.77
45,"Name_45",51,76.68
46,"Name_46",57,87.02
47,"Name_47",44,61.06
48,"Name_48",53,70.64
49,"Name_49",48,63.28
50,"Name_50",24,81.5
51,"Name_51",27,59.19
52,"Name_52",31,93.18
53,"Name_53",32,87.33
54,"Name_54",37,83.41
55,"Name_55",52,80.9
56,"Name_56",46,68.61
57,"Name_57",44,76.49
58,"Name_58",57,93.73
59,"Name_59",40,79.09
60,"Name_60",34,91.99
61,"Name_61",60,65.62
62,"Name_62",66,85.41
63,"Name_63",45,63.25
64,"Name_64",50,79.72
65,"Name_65",35,74.06
66,"Name_66",49,63.25
67,"Name_67",25,78.23
68,"Name_68",62,95.66
69,"Name_69",27,95.09
70,"Name_70",41,63.71
71,"Name_71",41,66.07
72,"Name_72",58,99.28
73,"Name_73",50,81
74,"Name_74",67,96.87
75,"Name_75",36,73.33
76,"Name_76",69,70.34
77,"Name_77",68,82.96
78,"Name_78",53,57.62
79,"Name_79",23,78.64
80,"Name_80",32,61.94
81,"Name_81",24,98.12
82,"Name_82",70,80.07
83,"Name_83",44,75.75
84,"Name_84",41,70.13
85,"Name_85",44,94.01
86,"Name_86",51,68.2
87,"Name_87",65,64.41
88,"Name_88",44,58.53
89,"Name_89",42,58.61
90,"Name_90",54,74.1
91,"Name_91",59,62.65
92,"Name_92",67,60.81
93,"Name_93",49,83.72
94,"Name_94",31,52.38
95,"Name_95",50,85.04
96,"Name_96",65,67.59
97,"Name_97",49,70.45
98,"Name_98",54,91.05
99,"Name_99",33,95.94
100,"Name_100",48,64.13
